iter	RMSE
0	42.47784268
1	40.96923578
2	39.51457988
3	38.08290984
4	36.78159402
5	35.68573044
6	34.56808095
7	33.38325946
8	32.22264226
9	31.28721962
10	30.26052272
11	29.25313043
12	28.28458847
13	27.35591218
14	26.56605364
15	25.66281546
16	24.76991299
17	23.98769081
18	23.19958966
19	22.37653964
20	21.66788827
21	20.96277646
22	20.2832408
23	19.59968659
24	18.89700139
25	18.31128168
26	17.67557562
27	17.05828844
28	16.4902745
29	15.93212192
30	15.45050473
31	14.90110847
32	14.42720881
33	13.94801731
34	13.49955623
35	13.05201912
36	12.62857144
37	12.22230928
38	11.87001706
39	11.52550851
40	11.1683329
41	10.82693778
42	10.54528357
43	10.24283696
44	9.958409211
45	9.685097666
46	9.389861556
47	9.112773057
48	8.832370096
49	8.619300529
50	8.360940581
51	8.121858078
52	7.86611336
53	7.623434456
54	7.40106295
55	7.187810253
56	6.959624315
57	6.741498375
58	6.554951112
59	6.389263415
60	6.222364671
61	6.064175608
62	5.886594192
63	5.742969496
64	5.600382623
65	5.439674729
66	5.287833701
67	5.1653123
68	5.029170956
69	4.892776296
70	4.771175167
71	4.666344005
72	4.540863591
73	4.425535692
74	4.322924611
75	4.220294867
76	4.116308821
77	4.027430325
78	3.933223211
79	3.856499044
80	3.768217206
81	3.705413561
82	3.631518368
83	3.542235136
84	3.471560645
85	3.410168253
86	3.356231148
87	3.277368557
88	3.20084915
89	3.132276792
90	3.085173485
91	3.020117733
92	2.957687307
93	2.924207188
94	2.873337258
95	2.823887445
96	2.773670185
97	2.736885538
98	2.693872439
99	2.643915377
100	2.597098542
101	2.553176276
102	2.509485204
103	2.481697051
104	2.439392765
105	2.397271363
106	2.359296725
107	2.330446175
108	2.303700738
109	2.271235573
110	2.240657121
111	2.224901627
112	2.193528744
113	2.165933555
114	2.138104912
115	2.109437
116	2.081169938
117	2.061946395
118	2.040120961
119	2.01187
120	1.992139038
121	1.970888397
122	1.947535905
123	1.922591754
124	1.91008288
125	1.89492675
126	1.881495689
127	1.852291883
128	1.828326644
129	1.804667898
130	1.791512257
131	1.779729384
132	1.764738657
133	1.75291222
134	1.742167994
135	1.722432698
136	1.707290213
137	1.6980434
138	1.685314943
139	1.663860886
140	1.653828831
141	1.63996183
142	1.626996097
143	1.622321686
144	1.610471333
145	1.602363799
146	1.582640583
147	1.562807459
148	1.559355445
149	1.540595491
150	1.529182661
151	1.510030694
152	1.489517089
153	1.479656862
154	1.473490392
155	1.46585049
156	1.44748325
157	1.434858055
158	1.428758266
159	1.413806746
160	1.399962023
161	1.384956284
162	1.369549335
163	1.359162335
164	1.342541089
165	1.336151434
166	1.320271947
167	1.314119116
168	1.301244515
169	1.295755631
170	1.287928856
171	1.281395638
172	1.271414038
173	1.268449541
174	1.263009095
175	1.260371997
176	1.245885883
177	1.237602772
178	1.234660035
179	1.222344422
180	1.20884085
181	1.200509982
182	1.197498052
183	1.193365212
184	1.189422758
185	1.178835003
186	1.169369627
187	1.162443361
188	1.160919451
189	1.148874269
190	1.14347503
