iter	Passed	Remaining
0	4	4860
1	9	4923
2	12	4302
3	15	3899
4	18	3610
5	20	3465
6	23	3347
7	26	3300
8	29	3247
9	32	3192
10	34	3139
11	37	3108
12	41	3141
13	44	3133
14	47	3124
15	50	3083
16	52	3057
17	55	3030
18	58	3022
19	61	3005
20	64	2988
21	66	2977
22	69	2955
23	72	2948
24	75	2925
25	77	2916
26	81	2943
27	85	2975
28	88	2976
29	91	2964
30	94	2946
31	97	2948
32	100	2932
33	102	2916
34	105	2922
35	108	2915
36	111	2906
37	114	2892
38	116	2882
39	119	2868
40	122	2862
41	125	2854
42	127	2845
43	130	2835
44	133	2827
45	136	2820
46	138	2814
47	141	2804
48	143	2793
49	146	2787
50	149	2785
51	152	2776
52	155	2770
53	157	2764
54	160	2760
55	163	2753
56	165	2745
57	168	2743
58	171	2738
59	174	2740
60	177	2731
61	180	2726
62	182	2721
63	185	2715
64	188	2707
65	190	2701
66	193	2698
67	196	2688
68	198	2681
69	201	2677
70	204	2675
71	207	2671
72	209	2663
73	212	2655
74	215	2652
75	218	2661
76	222	2663
77	224	2655
78	227	2649
79	230	2646
80	232	2641
81	236	2648
82	239	2645
83	242	2639
84	244	2632
85	247	2627
86	250	2627
87	252	2621
88	255	2615
89	258	2609
90	260	2603
91	263	2601
92	266	2599
93	269	2595
94	271	2590
95	274	2584
96	276	2577
97	279	2575
98	282	2572
99	285	2569
100	288	2565
101	290	2560
102	293	2556
103	296	2551
104	298	2548
105	301	2543
106	304	2539
107	307	2535
108	309	2532
109	312	2527
110	315	2528
111	318	2525
112	320	2519
113	323	2516
114	326	2514
115	329	2509
116	332	2507
117	334	2503
118	337	2499
119	341	2504
120	345	2509
121	348	2509
122	351	2505
123	354	2502
124	357	2501
125	359	2496
126	362	2493
127	365	2489
128	367	2484
129	370	2481
130	374	2482
131	376	2477
132	379	2477
133	383	2478
134	386	2476
135	389	2472
136	391	2468
137	394	2466
138	397	2465
139	401	2465
140	405	2472
141	409	2475
142	413	2480
143	419	2492
144	424	2502
145	433	2536
146	439	2548
147	444	2558
148	448	2559
149	451	2559
150	455	2558
151	458	2557
152	462	2560
153	465	2558
154	469	2558
155	472	2557
156	476	2561
157	481	2564
158	484	2561
159	487	2557
160	489	2553
161	493	2551
162	495	2546
163	498	2540
164	501	2535
165	504	2532
166	508	2537
167	510	2530
168	513	2525
169	516	2520
170	518	2515
171	521	2512
172	525	2511
173	528	2508
174	530	2502
175	533	2497
176	536	2495
177	539	2490
178	542	2489
179	545	2484
180	548	2480
181	551	2477
182	553	2472
183	557	2470
184	559	2466
185	562	2462
186	565	2458
187	568	2454
188	570	2449
189	573	2445
190	576	2441
191	578	2436
192	582	2435
193	584	2429
194	587	2425
195	590	2421
196	593	2417
197	595	2411
198	598	2407
199	601	2405
200	604	2401
201	606	2395
202	609	2391
203	611	2387
204	614	2383
205	617	2379
206	620	2376
207	622	2372
208	625	2366
209	626	2356
210	627	2347
211	630	2343
212	633	2339
213	635	2335
214	639	2334
215	642	2331
216	645	2328
217	647	2324
218	650	2320
219	653	2317
220	656	2312
221	657	2303
222	660	2299
223	662	2296
224	665	2291
225	667	2287
226	670	2283
227	673	2280
228	676	2276
229	677	2267
230	679	2263
231	681	2255
232	683	2250
233	686	2246
234	687	2238
235	688	2229
236	690	2223
237	691	2214
238	692	2204
239	695	2201
240	697	2197
241	698	2187
242	701	2184
243	702	2177
244	706	2177
245	707	2167
246	708	246	7247	710	247	7248	713	248	754	2275
249	757	2272
250	760	2269
251	763	2265
252	765	2259
253	767	2255
254	770	2250
255	774	2250
256	780	2257
257	784	2256
258	788	2257
259	792	2256
260	796	2255
261	799	2253
262	804	2254
263	808	2253
264	811	2251
265	815	2250
266	820	2252
267	824	2253
268	828	2251
269	832	2250
270	836	2249
271	839	2247
272	843	2246
273	847	2246
274	850	2243
275	854	2241
276	858	2240
277	862	2239
278	866	2239
279	870	2237
280	874	2236
281	877	2235
282	881	2232
283	885	2231
284	889	2231
285	893	2230
286	896	2228
287	901	2228
288	906	2229
289	911	2231
290	915	2230
291	920	2231
292	924	2229
293	927	2226
294	930	2223
